layer,metric,mean,max,std,last_value,last_iteration
19,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
20,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
21,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
22,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
23,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
24,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
25,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
26,layernorm_qkv_activation_underflows%,7.699275362318842e-07,0.0001,8.742687362802124e-06,0.0,22070
27,layernorm_qkv_activation_underflows%,5.163043478260869e-06,0.0001,2.213298874789134e-05,0.0,22070
28,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
29,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
30,layernorm_qkv_activation_underflows%,0.0,0.0,0.0,0.0,22070
3,proj_activation_underflows%,0.0010687952898550724,0.0013,8.858755603516706e-05,0.0011,22070
4,proj_activation_underflows%,0.0008292572463768117,0.0009,5.7630220873932414e-05,0.0009,22070
5,proj_activation_underflows%,0.0007283514492753624,0.0008,4.518099970834384e-05,0.0008,22070
6,proj_activation_underflows%,0.0007950634057971016,0.0009,2.1876109571842934e-05,0.0008,22070
7,proj_activation_underflows%,0.0007008152173913044,0.0008,8.994097865740084e-06,0.0007,22070
8,proj_activation_underflows%,0.0007012228260869565,0.0008,1.0992817393138317e-05,0.0007,22070
9,proj_activation_underflows%,0.0007001811594202899,0.0008,4.253388863552959e-06,0.0007,22070
10,proj_activation_underflows%,0.0007001811594202899,0.0008,4.253388863552959e-06,0.0007,22070
11,proj_activation_underflows%,0.0007001358695652174,0.0008,3.684378362701712e-06,0.0007,22070
12,proj_activation_underflows%,0.0007003170289855072,0.0008,5.622873850208847e-06,0.0007,22070
13,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
14,proj_activation_underflows%,0.0007000905797101449,0.0008,3.008964408855849e-06,0.0007,22070
15,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
16,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
17,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
18,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
19,proj_activation_underflows%,0.0007000452898550725,0.0008,2.128141326896873e-06,0.0007,22070
20,proj_activation_underflows%,0.0007000452898550725,0.0008,2.128141326896873e-06,0.0007,22070
21,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
22,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
23,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
24,proj_activation_underflows%,0.0007000452898550725,0.0008,2.128141326896873e-06,0.0007,22070
25,proj_activation_underflows%,0.0007,0.0007,0.0,0.0007,22070
26,proj_activation_underflows%,0.0007010416666666667,0.0008,1.0155210676376388e-05,0.0007,22070
27,proj_activation_underflows%,0.0008353260869565219,0.0009,4.780911494061786e-05,0.0008,22070
28,proj_activation_underflows%,0.0009317028985507248,0.0033,0.0002664274691741004,0.0008,22070
29,proj_activation_underflows%,0.0007799365942028986,0.0061,0.00036941349510874493,0.0007,22070
30,proj_activation_underflows%,0.0005679800724637682,0.0121,0.00041709406987855944,0.0004,22070
